date,stock,Prediction,Model,Margin_prediction,Sharpe,Sortino
1,HYPE3,25.993537292480465,Random Forest,0.25416772682987276,-0.07824375664777404,-0.11306307202354045
2,HYPE3,25.79898040771484,Random Forest,0.25416772682987276,-0.07824375664777404,-0.11306307202354045
3,HYPE3,25.51080821990968,Random Forest,0.25416772682987276,-0.07824375664777404,-0.11306307202354045
4,HYPE3,25.51080821990968,Random Forest,0.25416772682987276,-0.07824375664777404,-0.11306307202354045
5,HYPE3,25.30910511016847,Random Forest,0.25416772682987276,-0.07824375664777404,-0.11306307202354045
1,ROMI3,9.830361160947838,Random Forest,0.03591679997708807,-0.022789275732908572,-0.03617682037102285
2,ROMI3,9.663736690237078,Random Forest,0.03591679997708807,-0.022789275732908572,-0.03617682037102285
3,ROMI3,9.663736690237078,Random Forest,0.03591679997708807,-0.022789275732908572,-0.03617682037102285
4,ROMI3,9.510112748281646,Random Forest,0.03591679997708807,-0.022789275732908572,-0.03617682037102285
5,ROMI3,9.965519497228316,Random Forest,0.03591679997708807,-0.022789275732908572,-0.03617682037102285
1,TFCO4,10.260496820722311,KNN,0.030294737558698274,-0.05112228520752784,-0.08146009893379265
2,TFCO4,10.490678787231449,KNN,0.030294737558698274,-0.05112228520752784,-0.08146009893379265
3,TFCO4,10.481080736432762,KNN,0.030294737558698274,-0.05112228520752784,-0.08146009893379265
4,TFCO4,9.671607698713045,KNN,0.030294737558698274,-0.05112228520752784,-0.08146009893379265
5,TFCO4,9.736285073416576,KNN,0.030294737558698274,-0.05112228520752784,-0.08146009893379265
1,B3SA3,10.518646479527256,MLP,0.025207068174426788,-0.016472006146794293,-0.0294181780996963
2,B3SA3,10.284984960167222,MLP,0.025207068174426788,-0.016472006146794293,-0.0294181780996963
3,B3SA3,10.26726338241677,MLP,0.025207068174426788,-0.016472006146794293,-0.0294181780996963
4,B3SA3,10.10560656194748,MLP,0.025207068174426788,-0.016472006146794293,-0.0294181780996963
5,B3SA3,10.272575292410338,MLP,0.025207068174426788,-0.016472006146794293,-0.0294181780996963
1,SMFT3,20.774311751650096,AdaBoost,0.02462002008099737,0.007160186097412708,0.012132178890063686
2,SMFT3,20.764541930046637,AdaBoost,0.02462002008099737,0.007160186097412708,0.012132178890063686
3,SMFT3,20.774311751650096,AdaBoost,0.02462002008099737,0.007160186097412708,0.012132178890063686
4,SMFT3,20.441170182338983,AdaBoost,0.02462002008099737,0.007160186097412708,0.012132178890063686
5,SMFT3,20.441170182338983,AdaBoost,0.02462002008099737,0.007160186097412708,0.012132178890063686
